"group";"year";"week";"value"
"75to84";2020;37;811
"75to84";2020;38;1071
"75to84";2020;39;775
"75to84";2020;40;1118
"75to84";2020;41;1118
"75to84";2020;42;1558
"75to84";2020;43;2831
"75to84";2020;44;4154
"75to84";2020;45;4987
"75to84";2020;46;5449
"75to84";2020;47;5155
"75to84";2020;48;4983
"75to84";2020;49;5316
"75to84";2020;50;5830
"75to84";2020;51;5869
"75to84";2020;52;5617
"75to84";2021;0;0
"75to84";2021;1;6655
"75to84";2021;2;7464
"75to84";2021;3;8107
"75to84";2021;4;6359
"75to84";2021;5;4626
"75to84";2021;6;3331
"75to84";2021;7;2356
"75to84";2021;8;1010
"75to84";2021;9;540
"75to84";2021;10;517
"75to84";2021;11;714
"75to84";2021;12;720
"75to84";2021;13;1558
"75to84";2021;14;1235
"75to84";2021;15;1134
"75to84";2021;16;1284
"75to84";2021;17;1204
"75to84";2021;18;1140
"75to84";2021;19;588
"75to84";2021;20;212
"75to84";2021;21;-76
"75to84";2021;22;218
"75to84";2021;23;128
"75to84";2021;24;701
"75to84";2021;25;271
"75to84";2021;26;528
"75to84";2021;27;442
"75to84";2021;28;798
"75to84";2021;29;1676
"75to84";2021;30;1531
"75to84";2021;31;1495
"75to84";2021;32;1658
"75to84";2021;33;1579
"75to84";2021;34;1302
"75to84";2021;35;1396
"75to84";2021;36;2242
"75to84";2021;37;1264
"75to84";2021;38;861
"75to84";2021;39;1064
"75to84";2021;40;879
"75to84";2021;41;1142
"75to84";2021;42;1570
"75to84";2021;43;2309
"75to84";2021;44;1901
"75to84";2021;45;2696
"75to84";2021;46;3046
"75to84";2021;47;2851
"75to84";2021;48;1344
"65P";2019;0;0
"65P";2019;1;3077
"65P";2019;2;5789
"65P";2019;3;5783
"65P";2019;4;6121
"65P";2019;5;6678
"65P";2019;6;7084
"65P";2019;7;5536
"65P";2019;8;4981
"65P";2019;9;4787
"65P";2019;10;2980
"65P";2019;11;2184
"65P";2019;12;-207
"65P";2019;13;-739
"65P";2019;14;655
"65P";2019;15;-669
"65P";2019;16;841
"65P";2019;17;708
"65P";2019;18;-478
"65P";2019;19;202
"65P";2019;20;547
"65P";2019;21;622
"65P";2019;22;333
"65P";2019;23;986
"65P";2019;24;522
"65P";2019;25;786
"65P";2019;26;3299
"65P";2019;27;2049
"65P";2019;28;898
"65P";2019;29;815
"65P";2019;30;6898
"65P";2019;31;1169
"65P";2019;32;873
"65P";2019;33;-379
"65P";2019;34;380
"65P";2019;35;2212
"65P";2019;36;-1295
"65P";2019;37;-512
"65P";2019;38;-308
"65P";2019;39;785
"65P";2019;40;28
"65P";2019;41;1328
"65P";2019;42;909
"65P";2019;43;381
"65P";2019;44;378
"65P";2019;45;296
"65P";2019;46;1324
"65P";2019;47;1636
"65P";2019;48;863
"65P";2019;49;1109
"65P";2019;50;1915
"65P";2019;51;2741
"65P";2019;52;588
"65P";2020;0;0
"65P";2020;1;2599
"65P";2020;2;4656
"65P";2020;3;2976
"65P";2020;4;1969
"65P";2020;5;3479
"65P";2020;6;1093
"65P";2020;7;1674
"65P";2020;8;-709
"65P";2020;9;677
"65P";2020;10;1458
"65P";2020;11;3587
"65P";2020;12;10557
"65P";2020;13;23003
"65P";2020;14;34724
"65P";2020;15;33505
"65P";2020;16;24145
"65P";2020;17;15324
"65P";2020;18;8514
"65P";2020;19;5408
"65P";2020;20;1619
"65P";2020;21;1890
"65P";2020;22;-312
"65P";2020;23;70
"65P";2020;24;-824
"65P";2020;25;-653
"65P";2020;26;2131
"65P";2020;27;282
"65P";2020;28;-63
"65P";2020;29;1070
"65P";2020;30;1683
"65P";2020;31;4045
"65P";2020;32;3455
"65P";2020;33;7992
"65P";2020;34;2672
"65P";2020;35;867
"65P";2020;36;977
"65P";2020;37;2304
"65P";2020;38;3334
"65P";2020;39;1715
"65P";2020;40;3312
"65P";2020;41;2998
"65P";2020;42;4151
"65P";2020;43;8684
"65P";2020;44;11639
"65P";2020;45;14157
"65P";2020;46;15432
"65P";2020;47;14638
"65P";2020;48;14500
"65P";2020;49;15786
"65P";2020;50;16806
"65P";2020;51;16778
"65P";2020;52;16487
"65P";2021;0;0
"65P";2021;1;19688
"65P";2021;2;22594
"65P";2021;3;24259
"65P";2021;4;19822
"65P";2021;5;13422
"65P";2021;6;8991
"65P";2021;7;6653
"65P";2021;8;1800
"65P";2021;9;-336
"65P";2021;10;758
"65P";2021;11;729
"65P";2021;12;1027
"65P";2021;13;2110
